Nc_frac,rpm_at_design_theta,WfP3_steady_kg_s_per_Pa,accel_mult,decel_mult,bleed_frac,A8_ratio,igv_deg,T04_steady_K
0.2,14500.0,,1.5,0.55,0.15,1.3,25.0,
0.3,21750.0,,1.5,0.55,0.15,1.3,25.0,
0.4,29000.0,2.4802610105058686e-08,1.45,0.5333333333333333,0.15,1.3,25.0,863.5697973268473
0.45,32625.0,2.71035822547676e-08,1.4249999999999998,0.525,0.15,1.3,25.0,866.8142639829052
0.5,36250.0,2.6885261524721085e-08,1.4,0.5166666666666667,0.12222222222222222,1.3,25.0,818.6958404399275
0.55,39875.0,2.7389507912093985e-08,1.375,0.5083333333333333,0.09444444444444441,1.2571428571428571,20.83333333333333,803.1397178925387
0.6,43500.0,2.6745744692243385e-08,1.35,0.5,0.06666666666666667,1.2142857142857144,16.66666666666667,774.425437101337
0.65,47125.0,2.6842742808469064e-08,1.325,0.49444444444444446,0.038888888888888876,1.1714285714285715,12.5,770.5879389911961
0.7,50750.0,2.6247944885822877e-08,1.3,0.4888888888888889,0.011111111111111127,1.1285714285714286,8.33333333333334,762.1352136951889
0.75,54375.0,2.724029666863276e-08,1.2875,0.48333333333333334,0.0,1.0857142857142856,4.166666666666671,790.7753694372395
0.8,58000.0,2.9029908751837518e-08,1.275,0.4777777777777778,0.0,1.0428571428571427,0.0,837.7557592572891
0.85,61625.0,3.1994139075460944e-08,1.2625,0.4722222222222222,0.0,1.0,0.0,913.4473981103519
0.9,65250.0,3.3846804273108955e-08,1.25,0.4666666666666667,0.0,1.0,0.0,968.3238221821986
0.95,68875.0,3.731623458287272e-08,1.2166666666666668,0.46111111111111114,0.0,1.0,0.0,1063.9116889444729
1.0,72500.0,4.1683134248301633e-08,1.1833333333333333,0.4555555555555556,0.0,1.0,0.0,1182.9630428326527
1.05,76125.0,4.7015779432010184e-08,1.15,0.45,0.0,1.0,0.0,1334.3425835814949
1.1,79750.0,,1.15,0.45,0.0,1.0,0.0,
