# x_mm,r_mm (meridional hub curve, eye -> exit)
6.307051124150164334e+00,1.470756067600257744e+01
9.379259649570872881e+00,1.485550041675553423e+01
1.238112418738442422e+01,1.529783280744903706e+01
1.530170233951859338e+01,1.603232760073505503e+01
1.813005170790116338e+01,1.705675454926555901e+01
2.085522989445990305e+01,1.836888340569251810e+01
2.346629450112258297e+01,1.996648392266788008e+01
2.595230312981697907e+01,2.184732585284361761e+01
2.830231338247088502e+01,2.400917894887170689e+01
3.050538286101206253e+01,2.644981296340410992e+01
3.255056916736828043e+01,2.916699764909277803e+01
3.442692990346733239e+01,3.215850275858969809e+01
3.612352267123697658e+01,3.542209804454681432e+01
3.762940507260498890e+01,3.895555325961610293e+01
3.893363470949915950e+01,4.275663815644953303e+01
4.002526918384726429e+01,4.682312248769908081e+01
4.089336609757705787e+01,5.115277600601667274e+01
4.152698305261633749e+01,5.574336846405430634e+01
4.191517765089286485e+01,6.059266961446393651e+01
4.204700749433443008e+01,6.569844920989754655e+01
