# x_mm,y_mm,z_mm (span-major, chord-minor; 7 x 41)
6.193228784715344659e+00,1.410138440715702401e+01,2.752464232224673957e-01
7.327130472983015785e+00,1.413244200803793937e+01,1.141168730528955955e+00
8.568035057810416077e+00,1.412889450767870692e+01,1.998271925108045188e+00
9.911418090627369892e+00,1.417408581555174152e+01,2.827119627548666525e+00
1.133608272648115012e+01,1.423621188721127240e+01,3.641865109817796764e+00
1.282474610000457105e+01,1.433497630844351178e+01,4.476445476044076166e+00
1.435583385389282718e+01,1.446306989655580999e+01,5.369749728072131134e+00
1.591150646763646037e+01,1.463130726138914639e+01,6.328903235921654158e+00
1.749907618701249490e+01,1.481425858760254854e+01,7.355376368395549314e+00
1.907959449665145968e+01,1.505814268226288988e+01,8.471933265058273932e+00
2.068518963235891306e+01,1.528650285797760944e+01,9.650520273052258347e+00
2.224726712971636999e+01,1.559115897894704439e+01,1.094990714525334319e+01
2.380140443147858775e+01,1.588493921258984187e+01,1.231407408778457047e+01
2.532278842217059989e+01,1.619632639763683102e+01,1.377619125857569493e+01
2.678192608918838502e+01,1.652924789561071961e+01,1.533424133762602892e+01
2.821981327575744203e+01,1.683860352916202174e+01,1.695638380176016824e+01
2.955575151869292938e+01,1.717410791535448666e+01,1.868843307689142463e+01
3.084353041775065307e+01,1.748831263126395186e+01,2.047391060475298019e+01
3.206404386603337286e+01,1.778761129195230595e+01,2.232593343816810005e+01
3.318373117686271456e+01,1.808260983206330863e+01,2.424319307962985093e+01
3.427083321171542707e+01,1.834073390410023663e+01,2.618569089700540786e+01
3.521675244340236333e+01,1.859966901225552505e+01,2.819343680081007619e+01
3.613299403949686450e+01,1.882335557683375882e+01,3.020348313223653136e+01
3.693429865184373284e+01,1.903401751681107612e+01,3.224625969469111197e+01
3.769163688832032477e+01,1.921603178660224387e+01,3.428251305323454545e+01
3.834827581632492866e+01,1.938184723803785303e+01,3.632684347403007052e+01
3.896610116611434904e+01,1.952174719471221920e+01,3.835018332639237570e+01
3.948344660152125840e+01,1.964737756145168746e+01,4.036445593942122656e+01
3.998793047311466609e+01,1.974811858514649288e+01,4.234099213315592891e+01
4.037729546495772581e+01,1.983774919094989642e+01,4.429731628490278439e+01
4.076152710282869407e+01,1.990853501521083757e+01,4.620446189564108863e+01
4.107343837989235169e+01,1.996621647305157765e+01,4.807211012239734771e+01
4.134557265202980858e+01,2.001251330247235671e+01,4.988765906913991444e+01
4.161852868156340435e+01,2.004541669471112897e+01,5.164755970503046711e+01
4.180341764680468941e+01,2.007223402934566181e+01,5.335731789564401595e+01
4.198466801250820168e+01,2.009255278811965795e+01,5.499787850993013905e+01
4.217004909111826549e+01,2.010784497703401996e+01,5.657922238039957819e+01
4.229437323135597637e+01,2.012269911636808573e+01,5.810134151943940850e+01
4.240778895927256542e+01,2.013840826165821696e+01,5.954875808936748172e+01
4.252377948326341794e+01,2.015695548153335537e+01,6.092493009249947278e+01
4.264062241973223877e+01,2.026856157189730467e+01,6.223024822873907169e+01
6.163872236188242759e+00,1.467708626890724766e+01,2.733805112235830337e-01
7.296804450871519521e+00,1.467686357833236244e+01,1.149135863403926150e+00
8.522470016440909291e+00,1.463802377166007318e+01,2.001109006531867518e+00
9.843438744854793754e+00,1.465140234020037724e+01,2.819557355912324592e+00
1.124940281339794801e+01,1.468779340366024044e+01,3.625812942399623040e+00
1.271771329960011521e+01,1.476674771705966016e+01,4.449906648768516604e+00
1.422874653022585534e+01,1.487615566554258706e+01,5.330436726506595946e+00
1.576768200438569245e+01,1.502739704552313071e+01,6.276130048633742575e+00
1.733641440617441987e+01,1.519554131625662841e+01,7.285366323358877239e+00
1.890343629799049552e+01,1.542707623908112780e+01,8.385161344193193145e+00
2.049337215980730775e+01,1.564664548810207556e+01,9.543936726578882812e+00
2.204076986214511535e+01,1.594567935807058667e+01,1.082100137486619928e+01
2.358719016385815692e+01,1.623683520049489815e+01,1.216751534571827165e+01
2.509695358687539013e+01,1.654964303911607004e+01,1.360767511121304096e+01
2.655018068117628260e+01,1.688603908528039810e+01,1.514806831883345950e+01
2.798041735714595291e+01,1.720205804997762655e+01,1.675182939002913329e+01
2.930912300348746768e+01,1.754663917372446491e+01,1.846605927433753180e+01
3.059505200769573108e+01,1.786893993062658836e+01,2.024029249181867840e+01
3.181046608517342023e+01,1.817843849813142043e+01,2.207970687742636784e+01
3.292918275637222081e+01,1.848155678341397490e+01,2.399035884415526709e+01
3.401290037159323276e+01,1.874793523188525413e+01,2.592626641510765495e+01
3.495595060160654555e+01,1.901366307844200065e+01,2.793055175405228496e+01
3.587165944292421926e+01,1.924019824930230982e+01,2.994183830424659121e+01
3.667058801959873904e+01,1.945229951204045449e+01,3.198709213437797416e+01
3.742635471386749657e+01,1.963200791155308877e+01,3.402900845242457706e+01
3.808032610381626881e+01,1.979288050449194714e+01,3.608117220547593718e+01
3.869455433304265313e+01,1.992477395311850685e+01,3.811377884358216050e+01
3.920774929981772061e+01,2.003910484052475027e+01,4.014051159812369463e+01
3.970564047136568320e+01,2.012629794442797149e+01,4.212894182760727801e+01
4.008559073686920726e+01,2.020025612485436639e+01,4.409836483300042431e+01
4.046059464143509388e+01,2.025170376866232402e+01,4.602235038016558377e+01
4.075743013679538507e+01,2.028940048196940182e+01,4.790325542651636681e+01
4.101432029664513124e+01,2.031224265229083414e+01,4.973899252988736919e+01
4.126577922287900435e+01,2.032075821325618392e+01,5.151269169834982620e+01
4.142362798081168762e+01,2.032121606756975396e+01,5.323428376472578805e+01
4.157682670881329301e+01,2.031144761112451391e+01,5.489741892319299410e+01
4.172817937003473077e+01,2.029372400152505662e+01,5.649142311703647579e+01
4.181419957465540449e+01,2.027133987652203118e+01,5.802131067714184098e+01
4.188841205191950934e+01,2.024462588833429422e+01,5.948622682575879850e+01
4.196522652156938449e+01,2.021526169380843285e+01,6.088188383390126290e+01
4.204503700916000497e+01,2.027351366783139142e+01,6.221054723391221586e+01
4.885838532947518686e+00,2.013346916242070961e+01,2.158370079862962088e-01
5.909004968232373756e+00,2.012041291174090318e+01,1.247243248659264836e+00
7.025616667435912177e+00,2.006329361036043935e+01,2.274061107165794127e+00
8.239556198791714081e+00,2.004305369344237064e+01,3.289271798023661209e+00
9.538728306483623243e+00,2.003468674407576700e+01,4.309250528410540682e+00
1.089952441332315836e+01,2.004884203017928357e+01,5.356599918693573770e+00
1.230045365881766983e+01,2.007845061912201956e+01,6.461307237966877004e+00
1.372956547554915296e+01,2.012661902956438453e+01,7.625160957853941213e+00
1.518721190479798544e+01,2.017790281700995436e+01,8.848212342027911959e+00
1.664709839545723824e+01,2.026657244367374489e+01,1.014644665452320105e+01
1.812919894795005149e+01,2.033286313684995150e+01,1.149520820436392832e+01
