"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -5.338870845,      -2.951214495,      -3.187401668,       -2.95939335,      0.1198184386
          0,           0,          64,      -5.337997743,      -2.944474137,       -3.18862021,      -2.962988185,      0.1193553994
          0,           0,          65,      -5.341883344,      -2.949990168,      -3.189722263,      -2.966697082,       0.115314345
          0,           0,          66,      -5.342057508,      -2.945127086,      -3.190367855,      -2.970609287,       0.114415866
          0,           0,          67,      -5.345194363,      -2.947382885,      -3.189616046,      -2.974630867,      0.1109055361
          0,           0,          68,      -5.332753031,      -2.897183051,      -3.188753862,      -2.978832082,      0.1278163815
          0,           0,          69,       -5.32910741,      -2.888689657,      -3.185049928,      -2.983152692,      0.1241351964
          0,           0,          70,      -5.341588915,      -2.919647444,      -3.181337749,      -2.987717281,      0.1110326956
          0,           0,          71,      -5.351857668,      -2.936853515,      -3.178735852,      -2.992439568,      0.1029576363
          0,           0,          72,      -5.351745697,      -2.930598828,      -3.176364142,      -2.997313713,      0.1012807935
          0,           0,          73,      -5.348374296,      -2.905485271,      -3.173408649,      -3.002131809,      0.1090738908
          0,           0,          74,      -5.346250323,      -2.894928497,      -3.168635666,      -3.006992717,      0.1116488772
          0,           0,          75,      -5.358945883,      -2.925797049,      -3.163491496,      -3.011866144,     0.09374962053
          0,           0,          76,      -5.361061318,      -2.925979295,      -3.159120072,      -3.016832413,     0.09071690217
          0,           0,          77,      -5.355625037,      -2.897412142,       -3.15389749,      -3.021711599,      0.1000561233
          0,           0,          78,      -5.360450867,      -2.908968587,      -3.147636426,      -3.026388536,     0.09272627268
          0,           0,          79,      -5.363335447,      -2.915124252,      -3.142621865,       -3.03101225,     0.08449846034
          0,           0,          80,      -5.367442811,       -2.91938182,      -3.138246855,      -3.035546587,     0.08151866272
          0,           0,          81,      -5.384210773,        -2.9678956,      -3.133905579,      -3.039828269,     0.06071929644
          0,           0,          82,      -5.390516505,      -2.988372075,      -3.128652555,      -3.043913094,      0.0545359781
          0,           0,          83,      -5.415377017,      -3.096543388,      -3.122962808,      -3.047542757,      0.0154195713
          0,           0,          84,      -5.419076322,      -3.107595682,      -3.119254172,      -3.051237677,    0.009690593911
          0,           0,          85,      -5.422513644,      -3.114825574,       -3.11604429,      -3.054408696,    0.005592243627
          0,           0,          86,      -5.423894307,      -3.115743808,      -3.112091413,      -3.057200729,    0.004226840931
          0,           0,          87,      -5.425164291,      -3.114657081,      -3.107706021,       -3.05956655,    0.003490855435
          0,           0,          88,      -5.425684198,      -3.112053614,      -3.104049817,      -3.061606746,    0.003810077178
          0,           0,          89,      -5.426576578,      -3.110015122,      -3.100320492,      -3.063234579,    0.003779581362
