"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -5.285836137,      -2.896787695,      -3.066136688,      -3.095893882,      0.1709892572
          0,           0,          64,      -5.272821529,      -2.896558585,      -3.107491571,      -3.137207287,      0.1844510158
          0,           0,          65,      -5.261478255,      -2.896414327,      -3.155257383,      -3.184576382,      0.1961326986
          0,           0,          66,      -5.251885525,      -2.896467036,       -3.21038951,      -3.238843073,      0.2059676949
          0,           0,          67,      -5.244197906,      -2.896913503,      -3.274138167,      -3.301151205,      0.2138163359
          0,           0,          68,      -5.238308215,      -2.897814628,      -3.347985578,      -3.372805372,      0.2197878957
          0,           0,          69,      -5.234072673,       -2.89924023,      -3.433041621,      -3.454752697,      0.2240367798
          0,           0,          70,      -5.231457215,      -2.901235618,       -3.52746205,      -3.545373869,      0.2266060629
          0,           0,          71,      -5.230566955,      -2.903870724,      -3.618182424,      -3.633707926,      0.2273996375
          0,           0,          72,      -5.231323872,      -2.907289996,      -3.668177809,      -3.688451695,      0.2265013264
          0,           0,          73,      -5.233553555,       -2.91160473,      -3.641127342,      -3.673929822,      0.2240833337
          0,           0,          74,      -5.237096856,      -2.917070608,      -3.560066302,       -3.60283067,      0.2203000847
          0,           0,          75,      -5.241866686,      -2.923852436,      -3.467936008,      -3.515033332,      0.2152393966
          0,           0,          76,      -5.247784022,      -2.931930696,      -3.383623897,      -3.432108609,      0.2089880733
          0,           0,          77,       -5.25468318,      -2.941558945,      -3.311024734,       -3.35975413,      0.2017065135
          0,           0,          78,      -5.262351865,      -2.953017802,      -3.249520464,      -3.298124106,      0.1936103661
          0,           0,          79,      -5.270557067,      -2.966413139,      -3.197595648,      -3.245982948,      0.1849384397
          0,           0,          80,      -5.279079288,      -2.981898819,      -3.153797045,      -3.201994375,      0.1759209478
          0,           0,          81,      -5.287615185,      -2.999547884,      -3.116954045,      -3.165038269,      0.1668711477
          0,           0,          82,      -5.295768219,      -3.019676291,      -3.086148737,      -3.134198516,      0.1581921427
          0,           0,          83,      -5.303185069,      -3.042619453,      -3.060646577,      -3.108724283,      0.1502493086
          0,           0,          84,      -5.309536359,      -3.068535756,      -3.039852756,      -3.088011767,      0.1433971579
          0,           0,          85,      -5.314566338,       -3.09752142,      -3.023295721,      -3.071584263,      0.1379124534
          0,           0,          86,       -5.31812441,      -3.129621574,      -3.010618354,      -3.059080448,      0.1339638214
          0,           0,          87,      -5.320082538,      -3.164730576,      -3.001567441,      -3.050232858,      0.1316836185
          0,           0,          88,      -5.320388907,      -3.202237672,      -2.995935046,      -3.044825471,       0.131127282
          0,           0,          89,      -5.319160868,       -3.24110962,      -2.993574762,      -3.042699619,      0.1321882188
          0,           0,          90,      -5.316605937,      -3.279018126,      -2.994404245,       -3.04378492,      0.1346590849
          0,           0,          91,      -5.313008831,      -3.312361213,      -2.998415976,      -3.048044564,      0.1382487436
          0,           0,          92,      -5.308545623,      -3.336464773,      -3.005635022,      -3.055513536,      0.1427645724
          0,           0,          93,      -5.303412403,      -3.346936243,      -3.016142214,      -3.066253786,      0.1479918057
          0,           0,          94,      -5.297979273,      -3.341218707,      -3.030068642,      -3.080420216,      0.1535498036
          0,           0,          95,       -5.29250223,      -3.320649808,      -3.047579138,      -3.098186824,      0.1591822599
          0,           0,          96,      -5.287182466,      -3.289675516,      -3.068940578,      -3.119784919,      0.1646742873
          0,           0,          97,      -5.282235045,      -3.253265407,      -3.094522748,      -3.145548985,      0.1697989325
          0,           0,          98,      -5.277810499,      -3.215364901,      -3.124741087,       -3.17590817,      0.1743984569
          0,           0,          99,       -5.27418823,      -3.178678826,      -3.160152789,      -3.211418533,      0.1781984389
          0,           0,         100,      -5.271302347,      -3.144565435,      -3.201437519,      -3.252728554,      0.1812440884
          0,           0,         101,      -5.269225551,      -3.113587928,      -3.249544934,      -3.300736345,      0.1834566402
          0,           0,         102,      -5.268162178,      -3.085844477,      -3.305648386,      -3.356594385,      0.1846418992
          0,           0,         103,       -5.26817488,      -3.061329354,      -3.371151939,      -3.421680406,      0.1847304815
          0,           0,         104,      -5.269203057,      -3.039905566,      -3.447482004,       -3.49742228,      0.1837675383
          0,           0,         105,      -5.271333551,      -3.021423217,      -3.535007874,      -3.584255508,      0.1816660155
          0,           0,         106,      -5.274642246,      -3.005693441,      -3.629088651,      -3.678175253,      0.1783527475
          0,           0,         107,      -5.279169126,      -2.992448971,      -3.709543664,      -3.760763648,      0.1737848392
          0,           0,         108,      -5.284898475,      -2.981517601,      -3.734520344,      -3.791676926,      0.1679700435
          0,           0,         109,      -5.291797865,      -2.972696202,      -3.685962024,      -3.748834234,      0.1609388539
          0,           0,         110,      -5.299901255,      -2.965711071,      -3.600497186,      -3.665695825,      0.1526596051
          0,           0,         111,      -5.309195009,      -2.960372445,      -3.512523874,      -3.578077993,      0.1431486798
          0,           0,         112,      -5.319671479,      -2.956476654,      -3.434047766,      -3.499364925,      0.1324194428
          0,           0,         113,      -5.331317683,      -2.953903289,      -3.366814137,      -3.431795078,      0.1204798808
          0,           0,         114,       -5.34402149,      -2.952596158,      -3.309791672,      -3.374497568,      0.1074277792
          0,           0,         115,      -5.357675029,      -2.952264821,      -3.261500193,      -3.326025035,     0.09338432639
          0,           0,         116,      -5.372156924,      -2.952807885,      -3.220620297,      -3.285041727,      0.0784709911
          0,           0,         117,      -5.387299484,      -2.954114448,      -3.186061553,      -3.250492419,     0.06285863728
          0,           0,         118,      -5.402879255,      -2.956053897,      -3.156994798,      -3.221515173,     0.04677371713
          0,           0,         119,      -5.418582194,      -2.958513009,      -3.132801876,      -3.197458451,     0.03053446002
          0,           0,         120,      -5.434035353,      -2.961389336,      -3.112967002,      -3.177846169,     0.01451596877
          0,           0,         121,      -5.448808484,      -2.964558228,      -3.097094969,      -3.162275223,  -0.0008457242239
          0,           0,         122,      -5.462429523,      -2.967842464,      -3.084888388,      -3.150428362,    -0.01507242734
          0,           0,         123,      -5.474450874,      -2.971202397,      -3.076113274,       -3.14206571,    -0.02769354578
          0,           0,         124,      -5.484378952,      -2.974502867,      -3.070613542,      -3.137011791,    -0.03821087728
          0,           0,         125,      -5.491861861,      -2.977588011,      -3.068248952,      -3.135148404,     -0.0462727914
          0,           0,         126,      -5.496669816,      -2.980357375,      -3.068960027,      -3.136389158,    -0.05165720589
          0,           0,         127,      -5.498694547,      -2.983165667,      -3.072708989,       -3.14069239,     -0.0541911752
          0,           0,         128,      -5.497929362,      -2.985798863,      -3.079484916,      -3.148048061,    -0.05391933759
          0,           0,         129,      -5.494718978,      -2.988144602,      -3.089332256,      -3.158492742,    -0.05119640217
          0,           0,         130,      -5.489386189,      -2.990424365,       -3.10232851,       -3.17210401,     -0.0463273396
          0,           0,         131,      -5.482567361,      -2.992454839,      -3.118613573,      -3.188981588,    -0.03998706399
          0,           0,         132,       -5.47467009,      -2.994409237,      -3.138368061,      -3.209301796,    -0.03258251754
          0,           0,         133,      -5.466152323,      -2.996349372,      -3.161811965,      -3.233310103,    -0.02458113132
          0,           0,         134,      -5.457427386,       -2.99836775,       -3.18923678,      -3.261271722,    -0.01639353622
          0,           0,         135,      -5.448915095,      -3.000442388,      -3.221022368,      -3.293538545,   -0.008447235785
          0,           0,         136,      -5.440844706,      -3.002692602,      -3.257639676,      -3.330575162,  -0.0009658145535
          0,           0,         137,      -5.433471344,       -3.00524366,      -3.299633324,      -3.372924576,    0.005789257197
          0,           0,         138,       -5.42698381,      -3.008157996,      -3.347640582,      -3.421217208,     0.01162416043
          0,           0,         139,      -5.421523033,       -3.01148503,      -3.402289269,      -3.476064016,     0.01638928392
          0,           0,         140,      -5.417216994,      -3.015418126,      -3.463934073,      -3.537854037,     0.01993793717
          0,           0,         141,      -5.414072583,      -3.020074896,      -3.532029565,      -3.606078658,     0.02227078199
          0,           0,         142,      -5.412171469,       -3.02538896,      -3.603286808,      -3.677659788,     0.02330788952
          0,           0,         143,      -5.411527018,      -3.031246147,      -3.668177673,      -3.743635886,     0.02303286674
          0,           0,         144,      -5.412196591,      -3.037688873,      -3.708289735,      -3.786227927,     0.02137814095
          0,           0,         145,      -5.414152881,      -3.044965283,      -3.705692824,      -3.787071326,     0.01836121882
          0,           0,         146,      -5.417402969,        -3.0529138,      -3.663026582,        -3.7472602,     0.01396333277
          0,           0,         147,        -5.4219118,      -3.061420592,      -3.600056855,      -3.685899784,    0.008204289547
          0,           0,         148,      -5.427629797,      -3.070543931,      -3.533470384,      -3.620085692,    0.001129448686
          0,           0,         149,      -5.434518572,      -3.080194367,      -3.471117267,      -3.558147677,   -0.007239772883
          0,           0,         150,      -5.442542111,      -3.090284477,      -3.415480032,      -3.502779888,    -0.01690034916
          0,           0,         151,      -5.451519337,      -3.100763969,      -3.366842408,      -3.454369345,     -0.0276586886
          0,           0,         152,      -5.461324722,      -3.111409223,       -3.32474493,      -3.412474081,    -0.03939751435
          0,           0,         153,      -5.471877274,      -3.122135885,      -3.288513709,      -3.376464006,     -0.0520361785
          0,           0,         154,      -5.482921144,      -3.132643057,      -3.257527255,       -3.34573383,    -0.06532429655
          0,           0,         155,      -5.494178171,      -3.142754654,      -3.231283519,      -3.319786319,    -0.07894937071
          0,           0,         156,      -5.505395161,      -3.152340991,      -3.209350942,      -3.298164015,    -0.09260301215
          0,           0,         157,      -5.516299091,      -3.161342498,      -3.191353044,      -3.280497702,     -0.1059246266
          0,           0,         158,      -5.526265837,       -3.16936782,      -3.176994654,      -3.266503843,     -0.1181895679
          0,           0,         159,      -5.535026087,      -3.176473324,      -3.166088821,      -3.255963109,     -0.1289983795
          0,           0,         160,      -5.541914248,      -3.182243946,      -3.158471919,      -3.248700575,     -0.1375578833
          0,           0,         161,      -5.546731678,       -3.18678813,      -3.154009002,      -3.244614166,     -0.1435170236
          0,           0,         162,      -5.549257601,      -3.190082022,      -3.152639819,      -3.243631104,     -0.1465580147
          0,           0,         163,      -5.549544508,      -3.192342638,      -3.154332719,      -3.245710796,     -0.1466784514
          0,           0,         164,      -5.547421178,      -3.193509543,      -3.159091891,      -3.250849306,     -0.1437357013
          0,           0,         165,      -5.542959685,      -3.193670839,      -3.166957848,      -3.259082084,     -0.1378825175
          0,           0,         166,      -5.536517039,      -3.193053127,      -3.178031797,      -3.270498009,      -0.129600036
          0,           0,         167,      -5.528473758,      -3.191884305,      -3.192436815,       -3.28521559,     -0.1194165872
          0,           0,         168,      -5.519220136,      -3.190265851,      -3.210351376,      -3.303400675,     -0.1078775455
          0,           0,         169,      -5.509233447,      -3.188400323,      -3.232016886,      -3.325296643,     -0.0955905287
          0,           0,         170,      -5.498932482,      -3.186427228,      -3.257734622,      -3.351164265,    -0.08307529527
          0,           0,         171,      -5.488703205,      -3.184458187,      -3.287908142,      -3.381387214,    -0.07078294141
          0,           0,         172,      -5.478892929,      -3.182617937,       -3.32301653,      -3.416422536,    -0.05910605701
          0,           0,         173,      -5.469845373,      -3.180991168,       -3.36365928,      -3.456849409,    -0.04841331236
          0,           0,         174,      -5.461717037,      -3.179660634,       -3.41053046,       -3.50331031,    -0.03887652361
          0,           0,         175,      -5.454622624,      -3.178698509,      -3.464423096,      -3.556517537,    -0.03059866016
          0,           0,         176,      -5.448774253,      -3.178100026,      -3.525985937,      -3.617064304,    -0.02378520135
          0,           0,         177,      -5.444286389,      -3.177834249,      -3.595170041,      -3.684894987,    -0.01854710337
          0,           0,         178,      -5.441158752,      -3.177989031,      -3.669614275,      -3.757790843,    -0.01488447485
          0,           0,         179,      -5.439435501,       -3.17860969,      -3.740808831,      -3.828102821,    -0.01283980192
          0,           0,         180,       -5.43921772,      -3.179504454,      -3.789579063,      -3.878554891,    -0.01249702049
          0,           0,         181,      -5.440524741,      -3.180662802,      -3.792938774,      -3.887304217,    -0.01387631166
          0,           0,         182,      -5.443268335,       -3.18225761,      -3.749891401,      -3.850586837,    -0.01690108721
          0,           0,         183,      -5.447432093,      -3.184134767,      -3.682840518,      -3.787915624,    -0.02155529296
          0,           0,         184,      -5.453116891,      -3.186187638,      -3.611632614,      -3.719099363,    -0.02794504159
          0,           0,         185,      -5.460174034,      -3.188418881,      -3.545397009,      -3.654039725,    -0.03593148836
          0,           0,         186,      -5.468454433,      -3.190851586,      -3.486814361,      -3.596032021,    -0.04537563442
          0,           0,         187,      -5.477837496,      -3.193431945,       -3.43601502,      -3.545558986,     -0.0561629849
          0,           0,         188,      -5.488248138,      -3.196034499,      -3.392325213,      -3.502062613,    -0.06821185294
          0,           0,         189,      -5.499423158,       -3.19859438,      -3.354964793,      -3.464847562,    -0.08125774331
          0,           0,         190,      -5.511084175,      -3.201164865,      -3.323255602,      -3.433260221,     -0.0950041393
          0,           0,         191,      -5.522910015,      -3.203746524,      -3.296587222,      -3.406702674,     -0.1090961598
          0,           0,         192,      -5.534600512,      -3.206211866,      -3.274466012,      -3.384726915,     -0.1231735126
          0,           0,         193,       -5.54580978,      -3.208448549,      -3.256494784,       -3.36692897,     -0.1368024086
          0,           0,         194,       -5.55603789,      -3.210478483,      -3.242388322,      -3.352999865,     -0.1493574171
          0,           0,         195,      -5.564820157,      -3.212324404,      -3.231909738,      -3.342710499,     -0.1602246544
          0,           0,         196,      -5.571713379,      -3.213973969,      -3.224903106,      -3.335895677,     -0.1687971879
