"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          64,       -4.32301002,       -2.20841988,      -1.674473961,      -2.052741916,       1.157217342
          0,           0,          65,      -4.298999156,      -2.201148457,      -1.691358875,      -2.065854739,       1.180953017
          0,           0,          66,      -4.273851769,      -2.099171375,      -1.710392174,      -2.076046006,       1.206325277
          0,           0,          67,      -4.258014619,      -2.187004298,      -1.732633688,      -2.083030183,       1.219747297
          0,           0,          68,      -4.237849456,      -2.089469027,      -1.757274741,      -2.086916717,       1.239469809
          0,           0,          69,      -4.223016316,       -2.09849524,      -1.785043908,      -2.088251092,       1.252200618
          0,           0,          70,      -4.210242415,      -2.143696659,      -1.816696411,      -2.088608765,        1.26251613
          0,           0,          71,      -4.198069348,      -2.118559749,      -1.851958127,      -2.089155049,       1.275497615
          0,           0,          72,      -4.186679324,      -2.129643562,      -1.892092641,      -2.091291105,       1.284876212
          0,           0,          73,      -4.176346249,      -2.118205833,      -1.937370265,      -2.095928377,       1.294858176
          0,           0,          74,      -4.166775612,      -2.099528247,      -1.988724971,      -2.104310756,       1.304564055
          0,           0,          75,      -4.159548492,      -2.117689517,      -2.044807985,      -2.117278484,       1.310290494
          0,           0,          76,      -4.153340386,      -2.093572374,      -2.100751034,      -2.135350955,       1.317386793
          0,           0,          77,      -4.150345389,      -2.094967449,      -2.143233021,      -2.158953701,       1.321351251
          0,           0,          78,      -4.150234563,      -2.101377469,      -2.152916859,      -2.188973411,       1.322604549
          0,           0,          79,      -4.152852625,      -2.103190426,      -2.119999111,      -2.225596098,         1.3213776
          0,           0,          80,      -4.158972761,      -2.107550885,      -2.057991597,      -2.268898468,       1.316930034
          0,           0,          81,      -4.168773218,      -2.117308171,      -1.987750428,      -2.319038966,        1.30864682
          0,           0,          82,      -4.182119673,      -2.128778684,      -1.921731223,      -2.374550948,       1.296807184
          0,           0,          83,      -4.198883953,      -2.141663623,      -1.864099622,      -2.431598802,        1.28134651
          0,           0,          84,      -4.219034015,      -2.156902434,      -1.815595975,      -2.482366201,       1.262309313
          0,           0,          85,       -4.24220628,      -2.175320381,      -1.775855237,      -2.514963794,       1.239999873
          0,           0,          86,      -4.267436146,      -2.193942497,      -1.743858836,      -2.519754994,       1.215427738
          0,           0,          87,      -4.294138841,      -2.214349409,      -1.718578033,      -2.498119007,       1.189339008
          0,           0,          88,      -4.321642389,      -2.235296541,      -1.698905573,      -2.460977963,       1.162621641
